date	province	district	infected_total
04.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	0
05.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	0
06.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1
07.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1
08.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2
09.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3
10.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	4
11.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	4
12.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	7
13.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	8
14.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	13
15.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	15
16.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	27
17.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	38
18.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	40
19.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	53
20.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	58
21.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	66
22.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	79
23.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	101
24.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	134
25.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	150
26.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	165
27.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	193
28.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	214
29.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	234
30.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	258
31.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	274
01.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	326
02.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	338
03.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	400
04.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	407
05.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	468
06.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	488
07.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	527
08.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	539
09.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	568
10.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	637
11.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	660
12.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	697
13.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	709
14.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	723
15.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	764
16.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	819
17.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	893
18.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	949
19.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1044
20.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1077
21.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1118
22.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1144
23.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1212
24.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1235
25.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1278
26.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1341
27.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1412
28.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1461
29.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1520
30.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1563
01.05.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1580
02.05.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1620
03.05.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1645
04.05.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1723
05.05.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1769
06.05.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1789
07.05.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1825
08.05.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1870
09.05.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1903
10.05.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2002
11.05.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2024
12.05.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2056
13.05.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2100
14.05.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2125
15.05.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2141
16.05.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2160
17.05.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2166
18.05.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2226
19.05.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2257
20.05.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2276
21.05.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2295
22.05.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2366
23.05.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2399
24.05.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2418
25.05.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2455
26.05.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2471
27.05.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2512
28.05.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2530
29.05.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2556
30.05.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2581
31.05.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2594
01.06.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2630
02.06.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2639
03.06.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2649
04.06.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2660
05.06.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2680
06.06.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2700
07.06.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2708
08.06.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2724
09.06.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2736
10.06.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2739
11.06.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2749
12.06.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2750
13.06.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2767
14.06.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2767
15.06.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2767
16.06.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2778
17.06.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2814
18.06.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2825
19.06.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2838
20.06.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2851
21.06.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2853
22.06.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2857
23.06.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2867
24.06.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2878
25.06.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2884
26.06.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2902
27.06.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2908
28.06.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2910
29.06.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2913
30.06.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2919
01.07.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2924
02.07.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2930
03.07.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2933
04.07.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2936
05.07.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2936
06.07.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2941
07.07.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2951
08.07.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2951
09.07.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2957
10.07.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2970
11.07.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2972
12.07.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2974
13.07.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2975
14.07.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2983
15.07.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2991
16.07.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3017
17.07.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3025
18.07.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3042
19.07.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3051
20.07.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3073
21.07.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3076
22.07.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3094
23.07.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3101
24.07.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3130
25.07.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3151
26.07.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3161
27.07.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3170
28.07.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3201
29.07.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3218
30.07.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3223
31.07.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3258
01.08.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3273
02.08.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3289
03.08.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3306
04.08.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3353
05.08.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3375
06.08.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3414
07.08.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3436
08.08.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3471
09.08.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3483
10.08.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3501
11.08.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3528
12.08.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3559
13.08.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3582
14.08.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3603
15.08.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3660
16.08.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3672
17.08.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3688
18.08.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3721
19.08.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3752
20.08.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3773
21.08.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3803
22.08.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3834
23.08.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3858
24.08.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3878
25.08.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3922
26.08.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3937
27.08.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3965
28.08.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3995
29.08.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	4039
30.08.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	4049
31.08.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	4059
01.09.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	4094
02.09.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	4107
03.09.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	4131
04.09.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	4158
05.09.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	4181
06.09.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	4189
07.09.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	4195
08.09.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	4244
09.09.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	4274
10.09.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	4298
11.09.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	4345
12.09.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	4356
13.09.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	4372
14.09.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	4381
15.09.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	4441
16.09.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	4488
17.09.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	4513
18.09.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	4550
19.09.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	4633
20.09.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	4678
21.09.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	4687
22.09.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	4734
23.09.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	4780
24.09.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	4838
25.09.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	4890
26.09.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	4953
27.09.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	5002
28.09.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	5030
29.09.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	5094
30.09.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	5163
01.10.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	5259
02.10.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	5360
03.10.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	5423
04.10.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	5485
05.10.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	5572
06.10.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	5712
07.10.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	5896
08.10.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	6154
09.10.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	6404
10.10.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	6646
11.10.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	6832
12.10.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	7031
13.10.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	7373
14.10.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	7688
15.10.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	8070
16.10.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	8511
17.10.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	9035
18.10.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	9404
19.10.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	9810
20.10.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	10377
21.10.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	10839
22.10.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	11449
23.10.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	12116
24.10.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	12761
25.10.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	13346
26.10.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	13808
27.10.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	14725
28.10.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	15865
29.10.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	16722
30.10.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	17721
31.10.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	18950
01.11.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	19474
02.11.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	20211
03.11.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	22175
04.11.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	24499
05.11.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	26950
06.11.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	29462
07.11.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	31507
08.11.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	33306
09.11.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	35025
10.11.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	37566
11.11.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	40227
12.11.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	42074
13.11.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	44897
14.11.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	47691
15.11.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	49707
16.11.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	51491
17.11.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	53909
18.11.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	56000
19.11.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	57808
20.11.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	59434
21.11.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	61226
22.11.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	62231
23.11.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	63266
04.03.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	0
05.03.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	0
06.03.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	0
07.03.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	0
08.03.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	0
09.03.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	0
10.03.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	0
11.03.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	0
12.03.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	0
13.03.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	0
14.03.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	0
15.03.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	0
16.03.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	0
17.03.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	0
18.03.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	0
19.03.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	0
20.03.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	0
21.03.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	0
22.03.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	0
23.03.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	0
24.03.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	0
25.03.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	0
26.03.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	0
27.03.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	0
28.03.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	0
29.03.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	0
30.03.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	0
31.03.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	0
01.04.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	0
02.04.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	0
03.04.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	1
04.04.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	1
05.04.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	2
06.04.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	2
07.04.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	2
08.04.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	3
09.04.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	3
10.04.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	3
11.04.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	3
12.04.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	3
13.04.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	3
14.04.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	3
15.04.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	7
16.04.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	9
17.04.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	30
18.04.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	50
19.04.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	69
20.04.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	73
21.04.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	82
22.04.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	86
23.04.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	91
24.04.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	96
25.04.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	98
26.04.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	111
27.04.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	115
28.04.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	122
29.04.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	124
30.04.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	134
01.05.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	137
02.05.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	143
03.05.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	146
04.05.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	144
05.05.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	144
06.05.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	149
07.05.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	150
08.05.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	152
09.05.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	152
10.05.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	155
11.05.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	156
12.05.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	156
13.05.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	157
14.05.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	157
15.05.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	158
16.05.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	160
17.05.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	160
18.05.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	160
19.05.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	160
20.05.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	160
21.05.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	160
22.05.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	160
23.05.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	161
24.05.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	165
25.05.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	167
26.05.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	167
27.05.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	169
28.05.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	171
29.05.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	171
30.05.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	172
31.05.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	172
01.06.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	174
02.06.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	172
03.06.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	172
04.06.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	172
05.06.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	172
06.06.2020	DOLNOŒL¥SKIE	Powiat boles³awiecki	172
