district,population
M.Gdañsk                      ,470805
M.Gdynia                      ,244969
M.S³upsk                      ,89780
M.Sopot                       ,35286
Woj. Œl¹skie                       ,4492330
bêdziñski              ,147259
bielski                ,166348
bieruñsko-lêdziñski    ,59823
cieszyñski             ,177536
czêstochowski          ,134106
gliwicki               ,115416
k³obucki               ,84330
lubliniecki            ,76109
miko³owski             ,99202
myszkowski             ,70486
pszczyñski             ,111814
raciborski             ,107410
rybnicki               ,78166
tarnogórski            ,140780
wodzis³awski           ,156579
zawierciañski          ,116672
¿ywiecki               ,152199
M.Bielsko-Bia³a               ,169756
M.Bytom                       ,163255
M.Chorzów                     ,106846
M.Czêstochowa                 ,217530
M.D¹browa Górnicza            ,118285
M.Gliwice                     ,177049
M.Jastrzêbie-Zdrój            ,88038
M.Jaworzno                    ,90368
M.Katowice                    ,290553
M.Mys³owice                   ,74559
M.Piekary Œl¹skie             ,54702
M.Ruda Œl¹ska                 ,136423
M.Rybnik                      ,137128
M.Siemianowice Œl¹skie        ,66270
M.Sosnowiec                   ,197586
M.Œwiêtoch³owice              ,49108
M.Tychy                       ,126871
M.Zabrze                      ,170924
M.¯ory                        ,62844
Woj. Œwiêtokrzyskie                ,1224626
buski                  ,71125
jêdrzejowski           ,84908
kazimierski            ,33340
kielecki               ,210992
konecki                ,79072
opatowski              ,51525
ostrowiecki            ,107711
piñczowski             ,38487
sandomierski           ,76346
skar¿yski              ,73163
starachowicki          ,88549
staszowski             ,71250
w³oszczowski           ,44743
M.Kielce                      ,193415
Woj. Warmiñsko-mazurskie           ,1416495
bartoszycki            ,56562
braniewski             ,40776
dzia³dowski            ,64768
elbl¹ski               ,56986
e³cki                  ,91395
gi¿ycki                ,56227
go³dapski              ,26489
i³awski                ,92644
kêtrzyñski             ,61772
lidzbarski             ,40852
mr¹gowski              ,49439
nidzicki               ,32638
nowomiejski            ,43721
olecki                 ,33993
olsztyñski             ,127544
ostródzki              ,103492
piski                  ,55833
szczycieñski           ,69089
wêgorzewski            ,22444
M.Elbl¹g                      ,118582
M.Olsztyn                     ,171249
Woj. Wielkopolskie                 ,3496450
chodzieski             ,46824
czarnkowsko-trzcianecki,86590
gnieŸnieñski           ,145068
gostyñski              ,75732
grodziski              ,51929
jarociñski             ,71425
kaliski                ,82911
kêpiñski               ,56298
kolski                 ,86108
koniñski               ,129904
koœciañski             ,78866
krotoszyñski           ,76998
leszczyñski            ,57911
miêdzychodzki          ,36633
nowotomyski            ,75576
obornicki              ,59821
ostrowski              ,161357
ostrzeszowski          ,55265
pilski                 ,135477
pleszewski             ,62763
poznañski              ,406590
rawicki                ,60188
s³upecki               ,58959
szamotulski            ,91745
œredzki                ,59149
œremski                ,61492
turecki                ,83599
w¹growiecki            ,70096
wolsztyñski            ,57431
wrzesiñski             ,78037
z³otowski              ,69161
M.Kalisz                      ,99106
M.Konin                       ,72539
M.Leszno                      ,62854
M.Poznañ                      ,532048
Woj. Zachodniopomorskie            ,1688047
bia³ogardzki           ,47304
choszczeñski           ,47970
drawski                ,56482
goleniowski            ,82310
gryficki               ,59844
gryfiñski              ,81289
kamieñski              ,46692
ko³obrzeski            ,79300
koszaliñski            ,66505
³obeski                ,36486
myœliborski            ,65373
policki                ,81584
pyrzycki               ,39202
s³awieñski             ,55777
stargardzki            ,120132
szczecinecki           ,77258
œwidwiñski             ,46394
wa³ecki                ,52707
M.Koszalin                    ,106235
M.Szczecin                    ,398255
M.Œwinoujœcie                 ,40948
