district          	population
M.Ruda Śląska                 	136423
M.Rybnik                      	137128
M.Siemianowice Śląskie        	66270
M.Sosnowiec                   	197586
M.Świętochłowice              	49108
M.Tychy                       	126871
M.Zabrze                      	170924
M.Żory                        	62844
Woj. Świętokrzyskie                	1224626
buski                  	71125
jędrzejowski           	84908
kazimierski            	33340
kielecki               	210992
konecki                	79072
opatowski              	51525
ostrowiecki            	107711
pińczowski             	38487
sandomierski           	76346
skarżyski              	73163
starachowicki          	88549
staszowski             	71250
włoszczowski           	44743
M.Kielce                      	193415
Woj. Warmińsko-mazurskie           	1416495
bartoszycki            	56562
braniewski             	40776
działdowski            	64768
elbląski               	56986
ełcki                  	91395
giżycki                	56227
gołdapski              	26489
iławski                	92644
kętrzyński             	61772
lidzbarski             	40852
mrągowski              	49439
nidzicki               	32638
nowomiejski            	43721
olecki                 	33993
olsztyński             	127544
ostródzki              	103492
piski                  	55833
szczycieński           	69089
węgorzewski            	22444
M.Elbląg                      	118582
M.Olsztyn                     	171249
Woj. Wielkopolskie                 	3496450
chodzieski             	46824
czarnkowsko-trzcianecki	86590
gnieźnieński           	145068
gostyński              	75732
grodziski              	51929
jarociński             	71425
kaliski                	82911
kępiński               	56298
kolski                 	86108
koniński               	129904
kościański             	78866
krotoszyński           	76998
leszczyński            	57911
międzychodzki          	36633
nowotomyski            	75576
obornicki              	59821
ostrowski              	161357
ostrzeszowski          	55265
pilski                 	135477
pleszewski             	62763
poznański              	406590
rawicki                	60188
słupecki               	58959
szamotulski            	91745
średzki                	59149
śremski                	61492
turecki                	83599
wągrowiecki            	70096
wolsztyński            	57431
wrzesiński             	78037
złotowski              	69161
M.Kalisz                      	99106
M.Konin                       	72539
M.Leszno                      	62854
M.Poznań                      	532048
Woj. Zachodniopomorskie            	1688047
białogardzki           	47304
choszczeński           	47970
drawski                	56482
goleniowski            	82310
gryficki               	59844
gryfiński              	81289
kamieński              	46692
kołobrzeski            	79300
koszaliński            	66505
łobeski                	36486
myśliborski            	65373
policki                	81584
pyrzycki               	39202
sławieński             	55777
stargardzki            	120132
szczecinecki           	77258
świdwiński             	46394
wałecki                	52707
M.Koszalin                    	106235
M.Szczecin                    	398255
M.Świnoujście                 	40948
