district	province	area_in_ha	area_in_km2	population	population_density_in_ppl_per_ha
gryficki	Woj. Zachodniopomorskie            	102105	1021	60277	0.590343274
gryfiński	Woj. Zachodniopomorskie            	186911	1870	81882	0.438080156
kamieński	Woj. Zachodniopomorskie            	100716	1007	46999	0.466648795
kołobrzeski	Woj. Zachodniopomorskie            	72466	725	79438	1.096210637
koszaliński	Woj. Zachodniopomorskie            	165346	1653	66480	0.402065971
łobeski	Woj. Zachodniopomorskie            	106513	1065	36696	0.344521326
myśliborski	Woj. Zachodniopomorskie            	118240	1182	65638	0.555125169
policki	Woj. Zachodniopomorskie            	66533	665	80652	1.212210482
pyrzycki	Woj. Zachodniopomorskie            	72600	726	39336	0.541818182
sławieński	Woj. Zachodniopomorskie            	104320	1043	56134	0.538094325
stargardzki	Woj. Zachodniopomorskie            	151994	1520	120186	0.790728581
szczecinecki	Woj. Zachodniopomorskie            	176542	1766	77630	0.439725391
świdwiński	Woj. Zachodniopomorskie            	109306	1093	46724	0.427460524
wałecki	Woj. Zachodniopomorskie            	141498	1415	53039	0.37483922
Koszalin	Woj. Zachodniopomorskie            	9834	98	107048	10.88549929
Szczecin	Woj. Zachodniopomorskie            	30060	301	401907	13.37015968
Świnoujście	Woj. Zachodniopomorskie            	20207	202	40888	2.023457218
